"Date","Price","Open","High","Low","Change %"
"05/01/2020","0.129","0.109","0.152","0.079","44.94%"
"04/01/2020","0.089","0.051","0.411","0.030","134.21%"
"03/01/2020","0.038","1.476","1.639","-0.117","-97.37%"
"02/01/2020","1.444","1.567","1.744","1.443","-7.91%"
"01/01/2020","1.568","1.493","1.588","1.476","6.09%"
"12/01/2019","1.478","1.649","1.680","1.476","-10.53%"
"11/01/2019","1.652","1.547","1.664","1.532","6.79%"
"10/01/2019","1.547","1.909","2.021","1.544","-20.54%"
"09/01/2019","1.947","2.092","2.174","1.804","-6.98%"
"08/01/2019","2.093","1.995","2.136","1.957","4.91%"
"07/01/2019","1.995","2.182","2.393","1.978","-8.57%"
"06/01/2019","2.182","2.363","2.363","2.062","-7.66%"
"05/01/2019","2.363","2.429","2.440","2.342","-2.72%"
"04/01/2019","2.429","2.406","2.488","2.394","-0.94%"
"03/01/2019","2.452","2.413","2.488","2.402","1.53%"
"02/01/2019","2.415","2.425","2.438","2.347","0.75%"
"01/01/2019","2.397","2.427","2.432","2.315","-1.56%"
"12/01/2018","2.435","2.305","2.494","2.270","5.55%"
"11/01/2018","2.307","2.186","2.308","2.168","5.15%"
"10/01/2018","2.194","2.109","2.363","2.109","3.88%"
"09/01/2018","2.112","1.949","2.117","1.934","9.20%"
"08/01/2018","1.934","1.924","1.969","1.871","1.90%"
"07/01/2018","1.898","1.748","2.171","1.748","7.90%"
"06/01/2018","1.759","1.746","1.860","1.725","0.74%"
"05/01/2018","1.746","1.629","1.787","1.619","7.51%"
"04/01/2018","1.624","1.642","1.733","1.596","0.19%"
"03/01/2018","1.621","1.497","1.758","1.479","7.56%"
"02/01/2018","1.507","1.385","1.535","1.289","3.08%"
"01/01/2018","1.462","1.263","1.487","1.210","15.94%"
"12/01/2017","1.261","1.131","1.360","1.114","11.20%"
"11/01/2017","1.134","1.022","1.228","1.005","15.83%"
"10/01/2017","0.979","0.964","1.048","0.933","3.16%"
"09/01/2017","0.949","0.949","1.274","0.918","1.17%"
"08/01/2017","0.938","0.982","1.164","0.900","-4.48%"
"07/01/2017","0.982","0.883","1.109","0.845","17.04%"
"06/01/2017","0.839","0.860","0.913","0.746","-3.23%"
"05/01/2017","0.867","0.664","0.875","0.639","29.02%"
"04/01/2017","0.672","0.725","0.789","0.647","-8.94%"
"03/01/2017","0.738","0.454","0.791","0.396","83.13%"
"02/01/2017","0.403","0.497","0.985","0.375","-14.07%"
"01/01/2017","0.469","0.535","0.626","0.428","11.40%"
"12/01/2016","0.421","0.370","0.715","0.294","14.40%"
"11/01/2016","0.368","0.426","0.582","0.183","107.91%"
"10/01/2016","0.177","0.398","0.502","0.165","-11.50%"
"09/01/2016","0.200","0.289","0.309","0.071","-24.24%"
"08/01/2016","0.264","0.224","0.359","0.178","49.15%"
"07/01/2016","0.177","0.193","0.381","0.137","-4.32%"
"06/01/2016","0.185","0.269","0.346","0.147","-5.13%"
"05/01/2016","0.195","0.163","0.285","0.106","18.18%"
"04/01/2016","0.165","0.178","0.244","0.140","-4.07%"
"03/01/2016","0.172","0.226","0.336","0.091","-26.50%"
"02/01/2016","0.234","0.226","0.399","0.181","4.46%"
"01/01/2016","0.224","0.132","0.297","0.117","69.70%"
"12/01/2015","0.132","0.104","0.262","0.020","26.92%"
"11/01/2015","0.104","0.010","0.150","0.000","1,200.00%"
"10/01/2015","0.008","-0.013","0.177","-0.036","-178.43%"
"09/01/2015","-0.010","0.005","0.038","-0.031","-440.00%"
"08/01/2015","0.003","0.046","0.064","0.000","-90.32%"
"07/01/2015","0.031","0.025","0.066","0.005","-1,340.00%"
"06/01/2015","-0.002","0.018","0.030","-0.015","-131.25%"
"05/01/2015","0.008","-0.013","0.030","-0.018","-366.67%"
"04/01/2015","-0.003","0.046","0.066","-0.028","-116.67%"
"03/01/2015","0.018","0.023","0.061","0.002","0.00%"
"02/01/2015","0.018","0.015","0.033","0.002","260.00%"
"01/01/2015","0.005","0.015","0.036","0.002","-80.00%"
"12/01/2014","0.025","0.046","0.063","-0.010","-41.86%"
"11/01/2014","0.043","0.005","0.071","0.000","760.00%"
"10/01/2014","0.005","0.023","0.046","-0.005","-72.22%"
"09/01/2014","0.018","0.020","0.023","-0.008","0.00%"
"08/01/2014","0.018","0.008","0.056","0.008","80.00%"
"07/01/2014","0.010","0.013","0.041","0.008","-44.44%"
"06/01/2014","0.018","0.043","0.046","0.002","-56.10%"
"05/01/2014","0.041","0.020","0.048","0.005","105.00%"
"04/01/2014","0.020","0.030","0.046","0.002","-33.33%"
"03/01/2014","0.030","0.041","0.068","0.015","-30.23%"
"02/01/2014","0.043","0.030","0.145","0.008","30.30%"
"01/01/2014","0.033","0.018","0.081","0.000","153.85%"
"12/01/2013","0.013","0.053","0.056","0.002","-74.51%"
"11/01/2013","0.051","0.033","0.076","0.018","45.71%"
"10/01/2013","0.035","0.025","0.505","0.013","40.00%"
"09/01/2013","0.025","0.020","0.066","-0.002","25.00%"
"08/01/2013","0.020","0.023","0.061","0.010","-20.00%"
"07/01/2013","0.025","0.018","0.038","0.008","92.31%"
"06/01/2013","0.013","0.020","0.051","0.005","-35.00%"
"05/01/2013","0.020","0.030","0.038","0.002","-39.39%"
"04/01/2013","0.033","0.041","0.076","0.020","-8.33%"
"03/01/2013","0.036","0.071","0.104","0.036","-47.06%"
"02/01/2013","0.068","0.043","0.122","0.018","78.95%"
"01/01/2013","0.038","0.020","0.091","0.015","90.00%"
"12/01/2012","0.020","0.114","0.142","-0.028","-82.14%"
"11/01/2012","0.112","0.094","0.198","0.041","23.08%"
"10/01/2012","0.091","0.058","0.160","0.051","56.90%"
"09/01/2012","0.058","0.086","0.112","0.008","-32.56%"
"08/01/2012","0.086","0.076","0.124","0.005","68.63%"
"07/01/2012","0.051","0.041","0.107","0.028","18.60%"
"06/01/2012","0.043","0.031","0.102","0.013","38.71%"
"05/01/2012","0.031","0.069","0.089","0.025","-53.03%"
"04/01/2012","0.066","0.036","0.089","0.036","73.68%"
"03/01/2012","0.038","0.079","0.104","0.018","-53.09%"
"02/01/2012","0.081","0.048","0.132","0.015","88.37%"
"01/01/2012","0.043","0.005","0.051","0.002","760.00%"
"12/01/2011","0.005","0.018","0.018","-0.018","-75.00%"
"11/01/2011","0.020","0.010","0.030","0.003","100.00%"
"10/01/2011","0.010","0.008","0.025","0.003","25.00%"
"09/01/2011","0.008","0.010","0.051","-0.018","-20.00%"
"08/01/2011","0.010","0.162","0.254","-0.010","-94.19%"
"07/01/2011","0.172","0.008","0.180","-0.003","2,050.00%"
"06/01/2011","0.008","0.035","0.043","-0.003","-77.78%"
"05/01/2011","0.036","0.020","0.046","0.003","100.00%"
"04/01/2011","0.018","0.058","0.063","0.008","-70.49%"
"03/01/2011","0.061","0.122","0.177","0.010","-50.00%"
"02/01/2011","0.122","0.144","0.162","0.071","-14.08%"
"01/01/2011","0.142","0.056","0.160","0.051","125.40%"
"12/01/2010","0.063","0.177","0.177","0.013","-59.87%"
"11/01/2010","0.157","0.129","0.182","0.104","18.94%"
"10/01/2010","0.132","0.147","0.193","0.109","-7.04%"
"09/01/2010","0.142","0.162","0.172","0.061","-9.55%"
"08/01/2010","0.157","0.144","0.188","0.127","10.56%"
"07/01/2010","0.142","0.167","0.182","0.139","-12.35%"
"06/01/2010","0.162","0.144","0.259","0.018","10.20%"
"05/01/2010","0.147","0.137","0.182","0.035","7.30%"
"04/01/2010","0.137","0.155","0.167","0.137","-9.87%"
"03/01/2010","0.152","0.086","0.162","0.005","76.74%"
